"Title","UpdatesCount","LatestUpdate.Title","LatestUpdate.CreationDate","LatestUpdate.LegacyName","OldtestUpdate.Title","OldtestUpdate.CreationDate","OldtestUpdate.LegacyName","Id","ParentCategoryTitle"
"Windows 11 Dynamic Update","22","2022-04 Dynamic Update for Windows 11 for x64-based Systems (KB5012678)","2022/04/25 21:00:06","KB5012678-WindowsSV21H2-RTM-SetupDU-X64-TSL-World","2021-09 Dynamic Update for Windows 11 for ARM64-based Systems (KB5006587)","2021/09/16 17:00:06","KB5006587-WindowsSV21H2-RTM-SetupDU-ARM64-TSL-World","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb","Windows"
"Windows 11 GDR-DU","14","2022-04 Dynamic Cumulative Update for Windows 11 for ARM64-based Systems (KB5012592)","2022/04/12 17:00:06","KB5012592-WindowsSV21H2-GDR-DU-RTM-UnifiedCumulativeSecurity-ARM64-TSL-World","2021-10 Dynamic Cumulative Update for Windows 11 for x64-based Systems (KB5006674)","2021/10/12 17:03:07","KB5006674-WindowsSV21H2-GDR-DU-RTM-UnifiedCumulativeSecurity-X64-TSL-World","b6ea7c03-5339-4d45-a215-314a05fe37e0","Windows"
"Windows 11","54","悪意のあるソフトウェアの削除ツール - v5.100 (KB890830)","2022/04/12 21:00:00","890830_X86_WIN8TP_MRT_v5.100","以下にアップグレード: Windows 11 (ビジネス エディション) en-gb x64","2021/10/04 20:00:00","","72e7624a-5b00-45d2-b92f-e561c0a6a160","Windows"
"Windows 2000","371","Microsoft XML コア サービス 4.0 Service Pack 2 用セキュリティ更新プログラム (KB954430)","2011/07/12 17:00:00","MSXML4_SP2_954430_X86","セキュリティ問題の修正プログラム - 2002 年 2 月 14 日 (Internet Explorer 5.01)","2003/02/18 20:55:25","q318089_w2k_ie5_5218","3b4b8621-726e-43a6-b43b-37d07ec7019f","Windows"
"Windows 7","2029","悪意のあるソフトウェアの削除ツール x64 - v5.100 (KB890830)","2022/04/12 21:00:00","890830_AMD64_MRT_v5,100","Security Update for Windows 7 Beta for x64-based Systems (KB958690)","2009/03/10 17:00:00","WINDOWS6-1-KB958690-X64-BETA-257382","bfe5b177-a086-47a0-b102-097e4fa1f807","Windows"
"Windows 8 Dynamic Update","10","Dynamic Update for Windows 8 and Windows Server 2012 for x64-based Systems (KB2939103)","2014/03/18 17:00:00","KB2939103-Win8-RTM-X64-TSL","Windows 8 および Windows Server 2012 for x64-based Systems 用動的更新 (KB2791338)","2013/03/12 17:00:00","KB2791338-Win8-RTM-X64-TSL","393789f5-61c1-4881-b5e7-c47bcca90f94","Windows"
"Windows 8 Embedded","589","2022-04 x86 ベース システム用 Windows Embedded 8 Standard 向けセキュリティ マンスリー品質ロールアップ (KB5012650)","2022/04/12 17:00:06","KB5012650-Windows8Embedded-RTM-X86-TSL-World","Windows Embedded 8 Standard 用セキュリティ更新プログラム (KB3126587)","2016/02/09 18:00:00","KB3126587-Win8Embedded-RTM-X86-TSL","589db546-7849-47f5-bbc0-1f66cf12f5c2","Windows"
"Windows 8 Language Interface Packs","142","ノルウェー語 (ニーノシュク) インターフェース パック - Windows 8 - (KB2607607) [nn-NO_LIP]","2013/07/23 17:00:00","","バスク語 Language Interface Pack - Windows 8 x64 ベース システム用 - (KB2607607) [eu-ES_LIP]","2012/10/23 17:00:00","","3e5cc385-f312-4fff-bd5e-b88dcf29b476","Windows"
"Windows 8 Language Packs","72","ドイツ語言語パック - Windows 8 - (KB2607607) [de-DE_LP]","2012/10/23 17:00:00","","ドイツ語言語パック - Windows 8 - (KB2607607) [de-DE_LP]","2012/10/23 17:00:00","","97c4cee8-b2ae-4c43-a5ee-08367dab8796","Windows"
"Windows 8.1 and later drivers","0",,,,,,,"405706ed-f1d7-47ea-91e1-eb8860039715","Windows"
"Windows 8.1 Drivers","0",,,,,,,"f7b29b7a-086b-43f9-9cc8-e1a2f8a31e08","Windows"
"Windows 8.1 Dynamic Update","40","Windows 8.1 用動的更新 (KB3048100)","2015/05/12 17:00:00","KB3048100-Win8.1-RTM-X86-TSL","Windows 8.1 用動的更新 (KB2892082)","2013/10/17 11:00:00","KB2892082-Win8.1-RTM-X86-TSL","18e5ea77-e3d1-43b6-a0a8-fa3dbcd42e93","Windows"
"Windows 8.1 Language Interface Packs","142","タジク語 (キリル) インターフェイス パック - Windows 8.1 x64 ベース システム用 - (KB2839636) [tg-Cyrl-TJ_LIP]","2013/11/12 18:00:00","","ヒンディー語インターフェース パック - Windows 8.1 - (KB2839636) [hi-IN_LIP]","2013/09/24 17:00:00","","14a011c7-d17b-4b71-a2a4-051807f4f4c6","Windows"
"Windows 8.1 Language Packs","144","スペイン語言語パック - Windows 8.1 x64 ベース システム用 - (KB3012997) [es-ES_LP]","2014/12/09 18:00:00","KB3012997-WindowsBlueClientLangPack-RTM-X64-TSL-ESN","デンマーク語言語パック - Windows 8.1 x64 ベース システム用 - (KB2839636) [da-DK_LP]","2013/09/24 17:00:00","","01030579-66d2-446e-8c65-538df07e0e44","Windows"
"Windows 8.1","1826","悪意のあるソフトウェアの削除ツール - v5.100 (KB890830)","2022/04/12 21:00:00","890830_X86_WIN8TP_MRT_v5.100","Windows 8.1 用 Microsoft Camera Codec Pack の更新プログラム (KB2859675)","2013/09/24 17:00:00","KB2859675-Win8.1-RTM-X86-TSL","6407468e-edc7-4ecd-8c32-521f64cee65e","Windows"
"Windows 8","458","x64 ベース システム Windows 8 および Windows Server 2012 用 Microsoft .NET Framework 4.5.2 (KB2901982)","2018/01/09 18:00:00","KB2901982-Win8-RTM-X64-TSL","Microsoft XML コア サービス 4.0 Service Pack 3 用セキュリティ更新プログラム (KB2721691)","2012/10/09 17:00:00","MSXML4_SP3_2721691_X86","2ee2ad83-828c-4405-9479-544d767993fc","Windows"
"Windows Dictionary Updates","11","日本語 Microsoft IME 流行語辞書アップデート - KB2880582 (Version 16.0.1515.1)","2015/05/31 17:00:00","","韓国語 Microsoft IME 予測入力辞書アップデート - KB2880581 (Version 16.0.662.1)","2013/12/18 18:00:00","","50c04525-9b15-4f7c-bed4-87455bcd7ded","Windows"
"Windows Embedded Standard 7","1219","2022-04 x86 ベース システム用 Windows Embedded Standard 7 向けセキュリティ マンスリー品質ロールアップ (KB5012626)","2022/04/12 17:00:06","KB5012626-Windows7Embedded-SP1-X86-TSL-World","Windows Embedded Standard 7 for x64-Based Systems 用セキュリティ更新プログラム (KB2032276)","2010/07/13 17:00:00","WINDOWS7EMBEDDED-KB2032276-X64-322540-25177","f4b9c883-f4db-4fb5-b204-3343c11fa021","Windows"
